WMSize,DurLevel,TPresent,NT,NSub,curDur,phyDur,repVDur,repDur,presentColorDeg,respColorDeg,WMRP,clrPtch1,clrPtch2,clrPtch3,clrPtch4,clrPtch5
3,5,1,1,1,1.7,1.70017951981254,0.760003284354127,0.74196874638443,4.52040276266531,4.52040276266531,2,274,107,259,0,0
1,4,2,2,1,1.4,1.40017149553813,1.17011181733022,1.15797356592532,5.35816080362259,4.34586983746588,1,307,0,0,0,0
1,2,1,3,1,0.8,0.800061208418413,1.17011554955087,1.15792318094674,5.39306738866248,5.39306738866248,2,309,0,0,0,0
5,1,2,4,1,0.5,0.500055672291126,0.900113646118257,0.88597212528822,5.06145483078356,1.0471975511966,2,333,115,353,290,330
3,3,2,5,1,1.1,1.10010406675201,1.12010939138679,1.10999369254711,2.16420827247297,2.61799387799149,1,246,143,124,0,0
3,2,2,6,1,0.8,0.800051255830056,0.960101939386277,0.949892935030732,2.89724655831059,6.23082542961976,2,79,120,166,0,0
5,5,2,7,1,1.7,1.7001835630515,1.08144607376613,1.07795879877239,3.07177948351002,0.820304748437335,2,254,115,150,223,176
3,5,2,8,1,1.7,1.70021373183499,1.44018183378927,1.42992306649199,5.91666616426078,0.523598775598299,2,339,45,109,0,0
5,3,1,9,1,1.1,1.10012086174487,1.1883455812374,1.17391512432653,1.06465084371654,1.06465084371654,2,261,159,61,43,17
5,4,1,10,1,1.4,1.40017553877715,1.13009961296871,1.12596230954784,5.32325421858271,5.32325421858271,2,360,102,305,266,15
3,3,1,11,1,1.1,1.10010157860484,1.09011384517009,1.0779961209787,0.855211333477221,0.855211333477221,1,187,213,49,0,0
1,1,1,12,1,0.5,0.500062514695628,0.490058919323019,0.486004346793038,5.14872129338327,5.14872129338327,1,295,0,0,0,0
3,1,1,13,1,0.5,0.500048829886623,0.820085816193,0.80594896063883,0.733038285837618,0.733038285837618,1,41,42,127,0,0
3,2,1,14,1,0.8,0.800097597569561,0.56000104502175,0.549983627992106,3.75245789178781,3.75245789178781,2,215,266,278,0,0
1,4,1,15,1,1.4,1.40022374662703,1.15011146898962,1.14172067811955,3.00196631343025,3.00196631343025,1,172,0,0,0,0
1,3,2,16,1,1.1,1.10015414071222,0.960118423360655,0.950014232201397,5.96902604182061,0.471238898038469,1,342,0,0,0,0
5,4,2,17,1,1.4,1.4001777159059,1.04007969535132,1.02997488215522,5.93411945678072,4.99164166070378,2,274,340,177,54,308
5,2,2,18,1,0.8,0.800087333962892,0.81016806189507,0.805990326084157,6.02138591938044,2.11184839491314,2,78,345,52,265,311
3,1,2,19,1,0.5,0.5000681130266,0.570047560931584,0.565953178048062,2.8623399732707,0.837758040957278,2,343,303,164,0,0
1,2,2,20,1,0.8,0.800106617102756,0.819327242349232,0.805966999705106,1.67551608191456,6.10865238198015,2,96,0,0,0,0
3,4,1,21,1,1.4,1.40014101573638,0.928893421463499,0.917976539261076,4.69493568786475,4.69493568786475,2,339,66,269,0,0
1,3,1,22,1,1.1,1.10011122017488,1.10016253820856,1.09402196536246,5.51524043630208,5.51524043630208,1,316,0,0,0,0
5,1,1,23,1,0.5,0.500053495162433,0.820050982133921,0.806042888191314,2.61799387799149,2.61799387799149,1,285,222,230,150,103
5,2,1,24,1,0.8,0.800184682717713,1.3601319215586,1.34998138865978,3.47320521146872,3.47320521146872,1,68,199,163,195,264
1,5,2,25,1,1.7,1.70021808609238,0.99146845464918,0.981978835820883,4.01425727958696,4.13643032722656,1,230,0,0,0,0
1,5,1,26,1,1.7,1.70020844452233,1.13015777340695,1.12593369585636,5.32325421858271,5.32325421858271,1,305,0,0,0,0
1,1,2,27,1,0.5,0.500005909349284,0.849162614097168,0.837973279788457,1.48352986419518,1.1693705988362,1,85,0,0,0,0
5,3,2,28,1,1.1,1.10009971249463,0.960133974279984,0.94998344138105,0.977384381116825,1.32645023151569,1,56,150,66,8,232
3,4,2,29,1,1.4,1.40015874378435,0.870115300736188,0.85398637241849,0.855211333477221,0.0349065850398866,2,36,7,49,0,0
5,5,1,30,1,1.7,1.70019444869502,1.21011002586431,1.20600164715336,4.32841654494594,4.32841654494594,2,258,78,248,283,175
1,2,2,31,1,0.8,0.8000724050803,1.05014051810679,1.04602218680759,0.855211333477221,1.15191730631626,1,49,0,0,0,0
3,2,1,32,1,0.8,0.800111593396991,1.02950600327688,1.01398231673863,2.96705972839036,2.96705972839036,2,60,304,170,0,0
