NSub,Exp,wp_low,InP_curve_low,wp_medium,InP_curve_medium,wp_high,InP_curve_high
1,Exp4,0.368109454164664,0.86,0.395213376373304,0.82,0.420087772736992,0.82
2,Exp4,0.526310100535739,1.02,0.540486803633715,1,0.553839597451274,0.99
3,Exp4,0.579075581222647,0.84,0.644707257389495,0.87,0.692632786367028,0.92
4,Exp4,0.711932897299452,0.93,0.761056265063346,0.92,0.795866622989549,0.94
5,Exp4,0.478777091491032,1.09,0.551057889493712,1.09,0.6057330223503,1.09
6,Exp4,0.178109985664469,0.92,0.244428392631532,0.94,0.300843423325268,1.01
7,Exp4,0.148536377266152,1.09,0.154597372828529,0.93,0.16057268999422,0.81
8,Exp4,0.41526130325348,1.09,0.453429797496379,1.09,0.486920760402847,1.09
9,Exp4,0.39112722578183,1.09,0.417471390942603,1.09,0.44163042848793,1.09
10,Exp4,0.0470133105816381,0.87,0.0503576219536436,0.81,0.0536785430590077,0.81
11,Exp4,0.563241702649722,1.02,0.658394403200981,1.02,0.719503677472592,1.05
12,Exp4,0.489241948444127,1.09,0.529936483286108,1.09,0.56462489826628,1.09
13,Exp4,0.477983265371316,0.81,0.497399703521571,0.81,0.51542354849728,0.81
14,Exp4,0.362943111326024,0.98,0.376431935637706,0.96,0.389361388401226,0.96
15,Exp4,0.118451830985552,1.09,0.143947475683817,1.09,0.168009831518296,1.09
16,Exp4,0.177706954198277,0.81,0.194710523447537,0.81,0.211025131578571,0.81
