NSub,Exp,wp_low,InP_curve_low,wp_medium,InP_curve_medium,wp_high,InP_curve_high
1,Exp2,0.58116850465417,1.04,0.619536384482472,1.01,0.651464648325041,0.99
2,Exp2,0.420759795931934,0.81,0.447891046656842,0.81,0.472594396925423,0.81
3,Exp2,0.711889416411616,0.98,0.768711809121133,0.94,0.806812974606228,0.92
4,Exp2,0.612076748392252,1.09,0.7086155392147,1.09,0.766679744549666,1.09
5,Exp2,0.632259666714677,1.09,0.750125224500976,1.09,0.810774467709137,1.09
6,Exp2,0.596568457048681,1.09,0.678640273769505,1.04,0.732964463349685,0.99
7,Exp2,0.591428014095299,1.09,0.674142600316219,1.09,0.729004999394728,1.09
8,Exp2,0.398624312524209,1.02,0.51035006195859,0.96,0.587066365497698,0.93
9,Exp2,0.979750827414318,1.08,0.988716062718415,1.05,0.9921788456462,1.03
10,Exp2,0.6974600144124,0.96,0.793815228331778,0.95,0.843620234272096,0.94
11,Exp2,0.0608233612535074,1.09,0.0781797955136991,1.09,0.0949063596340504,1.05
12,Exp2,0.806559615252938,1.09,0.878740636857453,1.09,0.91169214039387,1.09
13,Exp2,0.485685881176752,0.94,0.618103054542335,0.91,0.696295828953024,0.89
14,Exp2,0.149169596218941,1.07,0.171352857554436,0.81,0.192408766356649,0.81
15,Exp2,0.198574612985565,0.81,0.308902542868156,0.81,0.392529715239705,0.81
16,Exp2,0.456902384369024,1.09,0.587439123120807,1.09,0.667385092405185,1.09
