NSub,Exp,wp_low,InP_curve_low,wp_medium,InP_curve_medium,wp_high,InP_curve_high
1,Exp3,0.62818309200091,0.95,0.62818309200091,0.97,0.62818309200091,0.99
2,Exp3,0.634436112206531,0.91,0.634436112206531,0.96,0.634436112206531,1.01
3,Exp3,0.481302281503743,0.89,0.481302281503743,0.91,0.481302281503743,0.93
4,Exp3,0.630915630356984,1.03,0.630915630356984,1.05,0.630915630356984,1.07
5,Exp3,0.0532545510424082,1.09,0.0532545510424082,1.09,0.0532545510424082,1.09
6,Exp3,0.626222036623807,1.06,0.626222036623807,1.09,0.626222036623807,1.09
7,Exp3,0.242037996288428,0.86,0.242037996288428,0.99,0.242037996288428,1.09
8,Exp3,0.720709172935754,1.09,0.720709172935754,1.09,0.720709172935754,1.09
9,Exp3,0.556663969399517,0.99,0.556663969399517,1.02,0.556663969399517,1.07
10,Exp3,0.565815530356141,0.9,0.565815530356141,1.01,0.565815530356141,1.09
11,Exp3,0.568998355392882,1.08,0.568998355392882,1.09,0.568998355392882,1.09
12,Exp3,0.660197156669925,1.08,0.660197156669925,1.09,0.660197156669925,1.09
13,Exp3,0.438660464281988,0.81,0.438660464281988,0.81,0.438660464281988,0.81
14,Exp3,0.401311030533074,1.09,0.401311030533074,1.09,0.401311030533074,1.09
15,Exp3,0.428647506185568,0.81,0.428647506185568,0.81,0.428647506185568,0.83
16,Exp3,0.432157219286721,0.81,0.432157219286721,0.81,0.432157219286721,0.84
